challenge_id,name,status,score,weight,critical,keyword_groups_satisfied,keyword_groups_required,quantitative_checks_passed,quantitative_checks_required,evidence_files,missing_keyword_groups
liquidity_horizon,Liquidity horizon,FAIL,0.75,0.1,True,2,4,2,2,configs/baseline_liquidity.yaml | docs/baseline_liquidity_methodology.md | src/ficc_liquidity/liquidity/baseline_cashflow.py,multi-day | overnight | day 2 | same-day | available when needed | timely availability
cash_flow_definitions,Cash-flow definitions,PASS,1.0,0.1,True,7,7,2,2,configs/baseline_liquidity.yaml | configs/collateral_haircut_stress.yaml | configs/integrated_stress_engine.yaml | configs/repo_funding_stress.yaml | configs/reverse_stress_testing.yaml | configs/settlement_fail_stress.yaml | configs/treasury_yield_stress.yaml | docs/baseline_liquidity_methodology.md | docs/collateral_haircut_stress_methodology.md | docs/integrated_stress_engine_methodology.md | docs/repo_funding_stress_methodology.md | docs/reverse_stress_testing_methodology.md | docs/section_10_historical_stress_methodology.md | docs/settlement_fail_stress_methodology.md | src/ficc_liquidity/analysis/historical_stress.py | src/ficc_liquidity/liquidity/baseline_cashflow.py | src/ficc_liquidity/scenarios/reverse_stress.py | src/ficc_liquidity/stress/collateral_haircut_stress.py | src/ficc_liquidity/stress/integrated_stress.py | src/ficc_liquidity/stress/repo_funding_stress.py | src/ficc_liquidity/stress/settlement_fail_stress.py,
default_set_construction,Default-set construction,PASS,1.0,0.1,True,6,6,2,2,configs/cover_analysis.yaml | configs/default_sets.yaml | docs/default_set_methodology.md | src/ficc_liquidity/scenarios/cover_analysis.py | src/ficc_liquidity/synthetic/default_sets.py | tests/test_default_sets.py | tests/test_default_sets_coverage.py,
yield_to_price_methodology,Yield-to-price methodology,PASS,1.0,0.1,True,7,7,3,3,configs/treasury_yield_stress.yaml | docs/treasury_yield_shock_model.md | src/ficc_liquidity/stress/treasury_yield_shock.py | tests/test_treasury_yield_shock.py,
repo_rollover_assumptions,Repo rollover assumptions,PASS,1.0,0.09,True,6,6,2,2,configs/repo_funding_stress.yaml | docs/repo_funding_stress_methodology.md | src/ficc_liquidity/stress/repo_funding_stress.py | tests/test_repo_funding_stress.py | tests/test_repository_foundation.py,
haircut_assumptions,Haircut assumptions,PASS,1.0,0.08,False,6,6,2,2,configs/collateral_haircut_stress.yaml | docs/collateral_haircut_stress_methodology.md | src/ficc_liquidity/stress/collateral_haircut_stress.py | tests/test_collateral_haircut_stress.py,
settlement_fail_treatment,Settlement-fail treatment,PARTIAL,0.928571,0.08,False,6,7,2,2,configs/settlement_fail_stress.yaml | docs/settlement_fail_stress_methodology.md | src/ficc_liquidity/stress/settlement_fail_stress.py | tests/test_settlement_fail_stress.py,double counting | double-counting
resource_eligibility,Resource eligibility,FAIL,0.785714,0.1,True,4,7,1,1,configs/baseline_liquidity.yaml | docs/baseline_liquidity_methodology.md,unencumbered | encumbered | committed | prearranged funding | same-day | monetization
netting_assumptions,Netting assumptions,FAIL,0.5,0.08,False,0,6,2,2,configs/baseline_liquidity.yaml | docs/baseline_liquidity_methodology.md,legally enforceable | enforceability | same currency | currency | same settlement date | settlement date | gross fallback | gross obligation | bilateral netting | multilateral netting | netting set | default scenario | defaulted member
scenario_severity,Scenario severity,PARTIAL,0.954545,0.09,True,10,11,2,2,configs/historical_scenario_replay.yaml | configs/historical_scenarios.yaml | configs/hypothetical_scenarios.yaml | docs/historical_scenarios_methodology.md | docs/hypothetical_scenarios_methodology.md | reports/tables/collateral_haircut_stress_scenario_summary.csv | reports/tables/cover_analysis_scenario_summary.csv | reports/tables/historical_scenario_double_count_controls.csv | reports/tables/historical_scenario_member_results.csv | reports/tables/historical_scenario_metrics.csv | reports/tables/historical_scenario_summary.csv | reports/tables/hypothetical_scenario_catalog.csv | reports/tables/hypothetical_scenario_double_count_controls.csv | reports/tables/hypothetical_scenario_member_results.csv | reports/tables/hypothetical_scenario_summary.csv | reports/tables/integrated_stress_scenario_summary.csv | reports/tables/repo_funding_stress_scenario_summary.csv | reports/tables/settlement_fail_stress_scenario_summary.csv | reports/tables/treasury_yield_stress_scenario_summary_smoke.csv | src/ficc_liquidity/scenarios/historical_scenarios.py | src/ficc_liquidity/scenarios/hypothetical_scenarios.py | tests/test_historical_scenarios.py | tests/test_hypothetical_scenarios.py,reverse stress
synthetic_member_calibration,Synthetic-member calibration,PARTIAL,0.944444,0.08,False,8,9,3,3,configs/synthetic_calibration.yaml | configs/synthetic_members.yaml | docs/synthetic_calibration_methodology.md | docs/synthetic_member_data_model.md | src/ficc_liquidity/synthetic/calibrate_members.py | tests/test_synthetic_calibration.py | tests/test_synthetic_member_schema.py,financing and fails reconciliation | fails reconciliation
